odom_x,odom_y,odom_theta,truth_x,truth_y,truth_theta
7.362489,9.782221,1.174157,1.369195,8.797468,1.173802
7.388336,9.843852,1.173011,1.395057,8.859092,1.172721
7.414253,9.905466,1.171968,1.420995,8.920684,1.171697
7.440239,9.966991,1.171078,1.446995,8.982203,1.170886
7.466269,10.028503,1.170476,1.473035,9.043713,1.170340
7.492326,10.090015,1.170094,1.499098,9.105224,1.170006
7.518315,10.151331,1.169382,1.521748,9.158626,1.168184
7.544078,10.210781,1.155341,1.550884,9.225334,1.151273
7.570667,10.269601,1.139289,1.577812,9.284270,1.135554
7.598579,10.328902,1.124898,1.606015,9.343672,1.122605
7.627510,10.388646,1.116380,1.635108,9.403481,1.116042
7.656870,10.448673,1.115255,1.664483,9.463495,1.114966
7.686295,10.508647,1.114203,1.693928,9.523464,1.113928
7.715771,10.568566,1.113749,1.723342,9.583293,1.115233
7.744874,10.628270,1.119498,1.752422,9.643123,1.119687
7.773986,10.688389,1.120195,1.781527,9.703246,1.120325
7.803055,10.748526,1.120777,1.810587,9.763385,1.120880
7.832092,10.808671,1.121173,1.839620,9.823530,1.121217
7.861096,10.868805,1.121822,1.868561,9.883594,1.123200
7.889751,10.928795,1.127136,1.897191,9.943703,1.127306
7.918403,10.989153,1.127812,1.925836,10.004064,1.127945
7.947012,11.049518,1.128392,1.954436,10.064428,1.128492
7.975591,11.109885,1.128780,1.983013,10.124800,1.128825
8.004128,11.170200,1.128500,2.011513,10.184970,1.126649
8.032751,11.229985,1.121365,2.040295,10.244847,1.120978
8.061766,11.290044,1.119814,2.069238,10.304645,1.117339
8.090714,11.348966,1.109111,2.098245,10.363244,1.105267
8.120132,11.406829,1.094115,2.128105,10.421469,1.092873
8.154724,11.473564,1.091968,2.162707,10.488211,1.091677
8.185508,11.532794,1.091441,2.193421,10.547318,1.093103
8.215823,11.591679,1.098578,2.223581,10.606180,1.100878
8.245501,11.650565,1.107858,2.253145,10.665176,1.110130
8.274681,11.709848,1.117616,2.282176,10.724533,1.120170
8.303289,11.769524,1.127456,2.310741,10.784416,1.127692
8.331886,11.829802,1.128597,2.339241,10.844566,1.130407
8.363483,11.897369,1.136108,2.370811,10.912327,1.136245
8.391596,11.957967,1.136756,2.398916,10.972930,1.136894
8.419666,12.018582,1.137361,2.426977,11.033548,1.137475
8.447661,12.079135,1.138239,2.454859,11.093943,1.140270
8.475083,12.139295,1.146400,2.482256,11.154317,1.146673
8.502504,12.200042,1.147570,2.509521,11.214805,1.150010
8.529057,12.259926,1.158584,2.535818,11.274603,1.162114
8.554579,12.319620,1.172750,2.561177,11.334508,1.176338
8.579466,12.380230,1.186844,2.586016,11.395520,1.187416
8.607559,12.449942,1.187988,2.614106,11.465246,1.188128
8.629376,12.504205,1.188555,2.635915,11.519512,1.188688
8.657377,12.573981,1.189201,2.663906,11.589292,1.189292
8.682235,12.636005,1.189569,2.688762,11.651318,1.189613
8.707056,12.697969,1.189276,2.713556,11.713128,1.187441
8.731996,12.759405,1.182191,2.738648,11.774667,1.181805
8.757232,12.820956,1.180626,2.763656,11.835532,1.177540
8.782185,12.880175,1.164613,2.789137,11.895304,1.162738
8.808717,12.941506,1.161921,2.815680,11.956634,1.161630
8.835311,13.002814,1.160850,2.842293,12.017931,1.160577
8.865248,13.071536,1.158409,2.872214,12.086454,1.156155
8.891981,13.131815,1.149097,2.899018,12.146471,1.145801
8.919187,13.191279,1.136305,2.926564,12.206225,1.135434
8.947233,13.251542,1.134236,2.954300,12.265720,1.131189
8.974718,13.309078,1.117282,2.982294,12.323637,1.113868
9.004005,13.368046,1.104514,3.011809,12.382627,1.102114
9.033894,13.426651,1.094553,3.041190,12.439837,1.089402
9.062491,13.480245,1.069009,3.070896,12.494612,1.064473
9.094932,13.538615,1.062631,3.103397,12.553007,1.062344
9.127422,13.596898,1.062127,3.135769,12.611104,1.064244
9.159278,13.654708,1.070794,3.167544,12.669051,1.072524
9.190863,13.713062,1.077609,3.199105,12.727561,1.077805
9.222465,13.771925,1.078317,3.230703,12.786434,1.078459
9.253965,13.830693,1.079349,3.262014,12.844945,1.081831
9.284538,13.888677,1.090276,3.292435,12.903026,1.092972
9.314577,13.947169,1.100936,3.322472,12.961852,1.101355
9.344783,14.006753,1.101855,3.352675,13.021445,1.101996
9.374918,14.066298,1.102884,3.382692,13.080835,1.104863
9.404474,14.125460,1.110823,3.412230,13.140211,1.111085
9.434080,14.185284,1.111975,3.441762,13.199964,1.113444
9.463291,14.244943,1.117769,3.470949,13.259746,1.117949
9.492507,14.305034,1.118457,3.500157,13.319847,1.118596
9.521680,14.365149,1.119062,3.529321,13.379960,1.119173
9.550713,14.425044,1.119938,3.558086,13.439385,1.122804
9.578503,14.483604,1.133811,3.585851,13.498429,1.135999
9.606257,14.543786,1.142521,3.613374,13.558463,1.145452
9.632833,14.603019,1.154388,3.638840,13.615641,1.157078
9.654874,14.653726,1.165166,3.660735,13.666362,1.167021
9.676534,14.704748,1.172074,3.681294,13.714974,1.172177
9.691322,14.739882,1.173052,3.694487,13.746370,1.176011
9.704854,14.773018,1.189507,3.705230,13.772834,1.189495
9.704910,14.773163,1.189550,3.705286,13.772976,1.189543
9.704942,14.773241,1.189582,3.705312,13.773038,1.189564
9.704998,14.773385,1.189626,3.705374,13.773195,1.189615
9.705049,14.773509,1.189669,3.705426,13.773323,1.189656
9.705102,14.773635,1.189698,3.705477,13.773446,1.189686
9.705153,14.773760,1.189743,3.705529,13.773571,1.189734
9.705202,14.773887,1.189783,3.705580,13.773695,1.189774
9.705253,14.774012,1.189826,3.705629,13.773819,1.189815
9.705304,14.774134,1.189865,3.705679,13.773946,1.189858
9.705359,14.774277,1.189912,3.705735,13.774092,1.189900
9.705397,14.774373,1.189939,3.705774,13.774181,1.189936
9.705448,14.774497,1.189984,3.705823,13.774314,1.189977
9.705512,14.774661,1.190032,3.705887,13.774470,1.190020
9.705548,14.774752,1.190063,3.705924,13.774565,1.190054
